Tweets,Subjectivity,Polarity,Analysis
&amp; Twitter TWITTER*&amp; All*&amp; All ALL&amp; Twitter TWITTER ACCOUNT ACCNTS*&amp; Twitter San Francisco CA California CALIFOR ,0.0,0.0,Neutral
"We've known this for years.\n\n is a jerk cum laude.\n\nFinally, its out in the open.\n\n",0.0,0.0,Neutral
  has a secret ban against Trump supporters - DC Document Reports ,0.7,-0.4,Negative
Please investigation as soon as possible about this sex workers prostitute  as well together with ,1.0,0.0,Neutral
DEAR JACK DORSEY WHY THE FUCK DO MY IMPRESSIONS KEEP GOING BACKWARDS? ,0.6,-0.4,Negative
" Jim like your discussion on on how twitter are now actually publishing, not admitting to it and disc ",0.1,0.0,Neutral
" May think Myanmar is good for meditation   In reality , it good for murder , kidnapp ",0.6000000000000001,0.7,Positive
    \n ; Noah Glass; Biz Stone; Evan Williams\nAll I need is a r ,0.0,0.0,Neutral
    has a secret ban against Trump supporters - DC Document Reports\n\n\This action by Do ,0.39999999999999997,-0.15000000000000002,Negative
 Recently I dared to explain why people don trust   after he announced his COVID stock don ,0.25,0.0,Neutral
"Good God, can you imagine how easily I could beat you in November if   would just be like OKAY! AND GIVE ",0.6444444444444445,0.5861111111111111,Positive
  has a secret ban against Trump supporters - DC Document Reports\n\n\This action by  is a violation ,0.39999999999999997,-0.15000000000000002,Negative
"  If you don off your mic this once, we will disconnect the network from your phone  ",0.0,0.0,Neutral
  DORSEY.I AM STAYING OFF TWITTER BECAUSE YOU NEVER PUT MY POST ON ANYWAY.\nI KNOW EVER SINCE I SPO ,0.0,0.0,Neutral
  has a secret ban against Trump supporters - DC Document Reports ,0.7,-0.4,Negative
_Reedmer I definitely see how you feel that way. Trumps cabinet has been very suspect. Biden could make a bet ,0.4,0.1,Positive
" had Elon musk and   in his corner, backing him for President.Trump is now boasting that he ha ",0.0,0.0,Neutral
  says Twitter feels  after massive bitcoin hacking scandal\n By ,1.0,0.0,Neutral
Weleyceo the antisemite with   serving hatch \n\nNoSafeSpaceForJewHate ,0.0,0.0,Neutral
  sent a pot of his hair to a swarm of locust to protect him from getting some shut-eye,0.0,0.0,Neutral
 Okay I will! And here an article I just found ,0.5,0.625,Positive
" has an idea, but it really about executing the idea and attracting other people to help you with the id ",0.2875,0.037500000000000006,Positive
Lolwant to italicize how much nothing will   do about it.,0.2,0.2,Positive
Perks of living is determined by how often I see a profile of  ?,0.0,0.0,Neutral
Why am I getting fvcking promotional tweets from fvcking Wingstop? Is how   plans on making his money now? ,0.0,0.0,Neutral
Why Does   Keep Letting This Guy Do This ? ,0.0,0.0,Neutral
"Billionaire Republican buys major Twitter stake, may oust CEO amid GOP concerns of bias, reports say  FoxNews",0.5,0.0625,Positive
Hahaaaa\n\n FELLOW TRUMPERS!\n\nKiss my Tennessee ass    ,0.0,0.0,Neutral
I have a joke about   but I can't edit it. ,0.0,0.0,Neutral
 Because mark fuckerburg and   are paedophiles,0.0,0.0,Neutral
"The wild life of billionaire Twitter CEO  , who eats one meal a day, has faced attempted oustings, and is ",0.4,0.1,Positive
