CEO,Tweets,Subjectivity,Polarity,Analysis
Mark Zuckerberg,Does   think dressing like that makes people respect him? This is Walmart not Keeping Up With the Kardashians!,0.0,0.0,Neutral
Mark Zuckerberg,"  Hi Mr. Yusry, just a sec i need to confirm with  ",0.6,-0.1,Negative
Mark Zuckerberg,  made millions this year and his name is  and some next bruddah in London will make 10 bags and ,0.0,0.0,Neutral
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg,Join in so   hears us loud &amp; clear it time to StopHateForProfit on  and act against hate ,0.6944444444444445,-0.20000000000000004,Negative
Mark Zuckerberg,"Instead of reflecting on the women who made me realize I was gay, i like to address the men who made me realize I ",0.5833333333333334,0.4166666666666667,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg,", You are a disgusting human being, you are a\nscab of human dignity. Facebook CEO   the gr ",0.4000000000000001,-0.3333333333333333,Negative
Mark Zuckerberg,When was the last time   had an original idea? ,0.4083333333333333,0.1875,Positive
Mark Zuckerberg,This is a billionaire chickened. \nFacebook staff walkout and quit over inflammatory Trump posts  but  Zuckerbe ,0.0,0.0,Neutral
Mark Zuckerberg,BREAKING news \nA MUST WATCH\n\nHear what a Facebook engineer has to say regarding   love affair wit ,0.6,0.5,Positive
Mark Zuckerberg,Join in so   hears us loud &amp; clear it time to StopHateForProfit on  and act against hate ,0.6944444444444445,-0.20000000000000004,Negative
Mark Zuckerberg,\ noted just because he had dinner with Trump...didn't mean 'we have some kind of deal.' [He] also said h ,0.79375,0.14375,Positive
Mark Zuckerberg,Stop   from Colonizing Kauai - Sign the Petition!  via ,0.0,0.0,Neutral
Mark Zuckerberg,Open SmartNews to read ' is hurting people at scale   employees reckon with the social n ,0.2833333333333333,0.016666666666666666,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg,  put a ton of sunscreen on his face and Twitter roasted him for it \n\nREAD MORE ,0.5,0.5,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg,Join in so   hears us loud &amp; clear it time to StopHateForProfit on  and act against hate ,0.6944444444444445,-0.20000000000000004,Negative
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg,Join in so   hears us loud &amp; clear it time to StopHateForProfit on  and act against hate ,0.6944444444444445,-0.20000000000000004,Negative
Mark Zuckerberg,"Four Big Tech CEOs  Facebook  , Amazon Jeff Bezos, Google's Sundar Pichai and Apple's Tim Cook  ",0.1,0.0,Neutral
Mark Zuckerberg,Join in so   hears us loud &amp; clear it time to StopHateForProfit on  and act against hate ,0.6944444444444445,-0.20000000000000004,Negative
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built  ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg,  Funny how I want to meet you Barack Obama and Warren Buffett. I just want a chance to talk. ,1.0,0.25,Positive
Mark Zuckerberg, Is Hurting People At Scale   Employees Reckon With The Social Network They Built ,0.06666666666666667,0.03333333333333333,Positive
Mark Zuckerberg,Join in so   hears us loud &amp; clear it time to StopHateForProfit on  and act against hate ,0.6944444444444445,-0.20000000000000004,Negative
Mark Zuckerberg,"  Too many Republicans would have to delete their Facebook pages, and then   ",0.5,0.5,Positive
Mark Zuckerberg,  I opted out of FB immediately when I heard that   will be endorsing Trum ,0.0,0.0,Neutral
Mark Zuckerberg,2/..  is described as a \pro-immigration lobbying grp.. primarily supported &amp; funded by Sili ,0.5,0.4,Positive
Mark Zuckerberg, if u think   plans on ever dying u are mistaken,0.0,0.0,Neutral
Mark Zuckerberg,Join in so   hears us loud &amp; clear it time to StopHateForProfit on  and act against hate ,0.6944444444444445,-0.20000000000000004,Negative
Mark Zuckerberg,  gotta be a lizard ,0.0,0.0,Neutral
Mark Zuckerberg,STOP HATE ON FACEBOOK\n\nJoin in so   hears us loud &amp; clear it time to StopHateForProfit on ,0.6944444444444445,-0.20000000000000004,Negative
